"","App","Category","Rating","Reviews","Size","Installs","Type","Price","Content.Rating","Genres","Last.Updated","Current.Ver","Android.Ver","countpos","countneut","counteg"
"94","Filters for Selfie","BEAUTY",4.3,8572,25,"1,000,000+","Free",0,"Everyone","Beauty","May 10, 2018","1.1.0","4.0 and up",31,16,16
"95","Tie - Always be happy","BEAUTY",4.7,964,9,"50,000+","Free",0,"Everyone","Beauty","June 21, 2018","4.0","4.2 and up",NA,NA,NA
"96","Prom MakeUp Tutorial","BEAUTY",4.8,104,12,"10,000+","Free",0,"Everyone","Beauty","June 26, 2018","1.3","4.0.3 and up",NA,NA,NA
"97","Sweet Selfie Beauty Camera","BEAUTY",4.3,601,35,"100,000+","Free",0,"Everyone","Beauty","June 2, 2018","2.0.0","4.0 and up",NA,NA,NA
"98","Colors of white in Urdu","BEAUTY",4.5,36,6.7,"10,000+","Free",0,"Everyone","Beauty","July 26, 2018","6.0","4.0 and up",NA,NA,NA
"99","Selfie Camera Photo Editor & Filter & Sticker","BEAUTY",4.1,187,30,"50,000+","Free",0,"Teen","Beauty","July 24, 2018","3.0.1","4.0.3 and up",NA,NA,NA
"100","Wrinkles and rejuvenation","BEAUTY",4.3,182,5.7,"100,000+","Free",0,"Everyone 10+","Beauty","September 20, 2017","8.0","3.0 and up",NA,NA,NA
"101","Eyes Makeup Beauty Tips","BEAUTY",4.2,30,2.9,"10,000+","Free",0,"Everyone","Beauty","April 9, 2018","3.3.9","4.0.3 and up",NA,NA,NA
"102","Photo Editor 2018","BEAUTY",4.5,134,17,"10,000+","Free",0,"Everyone","Beauty","March 1, 2018","1.20","4.0.3 and up",NA,NA,NA
"103","Step By Step Eyes Makeup Tutorial","BEAUTY",4.4,74,2.9,"10,000+","Free",0,"Everyone","Beauty","April 5, 2018","2.3.09","4.0.3 and up",NA,NA,NA
"104","Mirror Camera (Mirror + Selfie Camera)","BEAUTY",4.1,9315,2.6,"1,000,000+","Free",0,"Everyone","Beauty","November 21, 2017","1.4.2","4.0 and up",NA,NA,NA
"105","Beauty Tips - Beauty Tips in Sinhala","BEAUTY",4.4,75,4.2,"50,000+","Free",0,"Everyone","Beauty","October 18, 2017","1.0.0","4.0.3 and up",NA,NA,NA
"106","Haircut Tutorials/Haircut Videos","BEAUTY",4.6,38,7.1,"10,000+","Free",0,"Everyone","Beauty","May 29, 2018","1.0","4.0 and up",NA,NA,NA
"107","Sephora: Skin Care, Beauty Makeup & Fragrance Shop","BEAUTY",4.5,26834,57,"1,000,000+","Free",0,"Everyone","Beauty","July 24, 2018","18.5","5.0 and up",NA,NA,NA
"108","Manicure - nail design","BEAUTY",4.3,119,3.7,"50,000+","Free",0,"Everyone","Beauty","July 23, 2018","1.3","4.1 and up",NA,NA,NA
"109","Sticker Camera - Selfie Filters, Beauty Camera","BEAUTY",3.9,2277,22,"500,000+","Free",0,"Everyone","Beauty","July 12, 2018","1.1.0","4.0.3 and up",NA,NA,NA
"110","Filters for B Live","BEAUTY",4.4,2280,24,"500,000+","Free",0,"Everyone","Beauty","May 14, 2018","1.1.0","4.0 and up",13,13,4
"111","Skin Care and Natural Beauty","BEAUTY",4.3,654,7.4,"100,000+","Free",0,"Teen","Beauty","July 17, 2018","1.15","4.1 and up",NA,NA,NA
"112","Facial Wrinkle Reduction","BEAUTY",4.6,184,21,"10,000+","Free",0,"Everyone","Beauty","July 2, 2018","1.5","4.1 and up",NA,NA,NA
"113","Makeup Videos","BEAUTY",3.8,9,3.4,"5,000+","Free",0,"Everyone","Beauty","June 7, 2018","1.0","4.0 and up",NA,NA,NA
"114","Secrets of beauty, youth and health","BEAUTY",4.3,77,2.9,"10,000+","Free",0,"Mature 17+","Beauty","August 8, 2017","2.0","2.3 and up",NA,NA,NA
"115","Recipes and tips for losing weight","BEAUTY",4.3,35,3.1,"10,000+","Free",0,"Everyone 10+","Beauty","December 11, 2017","2.0","3.0 and up",NA,NA,NA
"116","Discover Color","BEAUTY",4,364,6.4,"100,000+","Free",0,"Everyone","Beauty","May 24, 2018","1.1","4.0.3 and up",NA,NA,NA
"117","Eyeliner step by step 2018","BEAUTY",4.3,18,3.2,"5,000+","Free",0,"Everyone","Beauty","June 1, 2018","1.2.13","4.0.3 and up",NA,NA,NA
"118","Dresses Ideas & Fashions +3000","BEAUTY",4.5,473,8.2,"100,000+","Free",0,"Mature 17+","Beauty","March 1, 2017","1.0.2.0","1.6 and up",23,5,1
"119","Lady adviser (beauty, health)","BEAUTY",4.3,30,9.9,"10,000+","Free",0,"Mature 17+","Beauty","January 24, 2018","3.0","3.0 and up",NA,NA,NA
"120","Step By Step Hairstyles For Women","BEAUTY",4.1,66,2.9,"10,000+","Free",0,"Everyone","Beauty","April 5, 2018","3.1.89","4.0.3 and up",NA,NA,NA
"121","Rainbow Camera","BEAUTY",3.7,3871,23,"1,000,000+","Free",0,"Everyone","Beauty","July 30, 2018","2.2.0","4.0 and up",NA,NA,NA
"122","Methods of teeth whitening","BEAUTY",4.7,257,4.6,"50,000+","Free",0,"Everyone","Beauty","August 7, 2017","1.0","4.0.3 and up",NA,NA,NA
"123","Girls hairstyles 2018","BEAUTY",4.2,62,3.1,"10,000+","Free",0,"Everyone","Beauty","May 28, 2018","1.9.2","4.0.3 and up",NA,NA,NA
"124","E-Book Read - Read Book for free","BOOKS_AND_REFERENCE",4.5,1857,4.9,"50,000+","Free",0,"Everyone","Books & Reference","August 3, 2018","1.3.2","4.4 and up",NA,NA,NA
"125","Download free book with green book","BOOKS_AND_REFERENCE",4.6,4478,9.5,"100,000+","Free",0,"Everyone 10+","Books & Reference","July 31, 2017","1.1","4.0 and up",NA,NA,NA
"126","Free Panda Radio Music","BOOKS_AND_REFERENCE",4.5,418,4.2,"100,000+","Free",0,"Everyone","Books & Reference","March 27, 2018","2.1","4.1 and up",3,3,0
"127","Book store","BOOKS_AND_REFERENCE",4.4,22486,5.4,"1,000,000+","Free",0,"Teen","Books & Reference","June 6, 2018","3.2.1","4.0 and up",NA,NA,NA
"128","English Grammar Complete Handbook","BOOKS_AND_REFERENCE",4.6,1435,2.8,"500,000+","Free",0,"Everyone","Books & Reference","January 21, 2018","1.0","4.0 and up",NA,NA,NA
"129","Free Books - Spirit Fanfiction and Stories","BOOKS_AND_REFERENCE",4.8,116507,5,"1,000,000+","Free",0,"Teen","Books & Reference","August 1, 2018","2.0.075","4.0.3 and up",NA,NA,NA
"130","AlReader -any text book reader","BOOKS_AND_REFERENCE",4.6,90468,5.9,"5,000,000+","Free",0,"Everyone","Books & Reference","May 27, 2018","1.911805270","2.3 and up",24,9,6
"131","Offline English Dictionary","BOOKS_AND_REFERENCE",4.2,860,13,"100,000+","Free",0,"Everyone","Books & Reference","July 17, 2018","1.0","4.0.3 and up",NA,NA,NA
"132","Oxford Dictionary of English : Free","BOOKS_AND_REFERENCE",4.1,363934,7.1,"10,000,000+","Free",0,"Everyone","Books & Reference","July 11, 2018","9.1.363","4.1 and up",NA,NA,NA
"133","Offline: English to Tagalog Dictionary","BOOKS_AND_REFERENCE",4.7,967,6.7,"500,000+","Free",0,"Everyone","Books & Reference","August 4, 2018","1.1.6","4.0.3 and up",NA,NA,NA
"134","FamilySearch Tree","BOOKS_AND_REFERENCE",4.3,17506,17,"1,000,000+","Free",0,"Everyone","Books & Reference","July 20, 2018","2.3.18","4.1 and up",21,5,4
"135","Cloud of Books","BOOKS_AND_REFERENCE",3.3,1862,19,"1,000,000+","Free",0,"Everyone","Books & Reference","April 27, 2018","2.2.5","4.1 and up",NA,NA,NA
"136","Recipes of Prophetic Medicine for free","BOOKS_AND_REFERENCE",4.6,2084,6.7,"500,000+","Free",0,"Everyone","Books & Reference","May 17, 2018","15.0","2.3 and up",NA,NA,NA
"137","ReadEra – free ebook reader","BOOKS_AND_REFERENCE",4.8,47303,21,"1,000,000+","Free",0,"Everyone","Books & Reference","June 2, 2018","18.05.31+530","4.1 and up",NA,NA,NA
"138","Anonymous caller detection","BOOKS_AND_REFERENCE",4.3,161,2.7,"10,000+","Free",0,"Everyone","Books & Reference","July 13, 2018","1.0","2.3 and up",NA,NA,NA
"139","Ebook Reader","BOOKS_AND_REFERENCE",4.1,85842,37,"5,000,000+","Free",0,"Everyone","Books & Reference","June 25, 2018","5.0.6","4.0 and up",32,3,4
"140","Litnet - E-books","BOOKS_AND_REFERENCE",4.6,7831,15,"100,000+","Free",0,"Teen","Books & Reference","July 4, 2018","1.2.3","4.0 and up",NA,NA,NA
"141","Read books online","BOOKS_AND_REFERENCE",4.1,91615,23,"5,000,000+","Free",0,"Mature 17+","Books & Reference","June 29, 2018","3.12","4.1 and up",NA,NA,NA
"142","English to Urdu Dictionary","BOOKS_AND_REFERENCE",4.6,4620,19,"500,000+","Free",0,"Everyone","Books & Reference","November 23, 2017","2.0","4.0.3 and up",NA,NA,NA
"143","eBoox: book reader fb2 epub zip","BOOKS_AND_REFERENCE",4.7,21336,23,"1,000,000+","Free",0,"Everyone","Books & Reference","June 20, 2018","1.28","3.0 and up",NA,NA,NA
"144","English Persian Dictionary","BOOKS_AND_REFERENCE",4.5,26875,73,"500,000+","Free",0,"Everyone","Books & Reference","August 1, 2018","6.0.8","4.0.3 and up",NA,NA,NA
"145","Flybook","BOOKS_AND_REFERENCE",3.9,1778,4.9,"500,000+","Free",0,"Mature 17+","Books & Reference","October 16, 2014","1.0.3","2.1 and up",NA,NA,NA
"146","All Maths Formulas","BOOKS_AND_REFERENCE",4.4,2709,6.8,"1,000,000+","Free",0,"Everyone","Books & Reference","July 11, 2018","1.9","4.4 and up",26,6,1
"147","English translation from Bengali","BOOKS_AND_REFERENCE",4.5,527,2.9,"100,000+","Free",0,"Everyone","Books & Reference","March 31, 2018","14.0","4.0 and up",NA,NA,NA
"148","Pdf Book Download - Read Pdf Book","BOOKS_AND_REFERENCE",4.4,1322,3.5,"100,000+","Free",0,"Everyone","Books & Reference","May 28, 2018","6.0","4.0.3 and up",NA,NA,NA
